           Element              Name           Azimuth              x[m]              y[m]              z[m]
             drift         DBENDEND:         71.955156         -0.761437         71.944604         -0.000000
          thinQuad            BENDQ:         71.955156         -0.761437         71.944604         -0.000000
             sbend             BEND:         78.076539         -1.034654         78.059886         -0.000000
          thinQuad            BENDQ:         78.076539         -1.034654         78.059886         -0.000000
             drift         DBENDEND:         78.216239         -1.041455         78.199421         -0.000000
             drift         DBENDEND:         78.355939         -1.048257         78.338955         -0.000000
          thinQuad            BENDQ:         78.355939         -1.048257         78.338955         -0.000000
             sbend             BEND:         84.477322         -1.371107         84.451819         -0.000000
          thinQuad            BENDQ:         84.477322         -1.371107         84.451819         -0.000000
             drift         DBENDEND:         84.617022         -1.379041         84.591293         -0.000000
             drift         DBENDEND:         84.756722         -1.386975         84.730768         -0.000000
          thinQuad            BENDQ:         84.756722         -1.386975         84.730768         -0.000000
             sbend             BEND:         90.878106         -1.759436         90.840809         -0.000000
          thinQuad            BENDQ:         90.878106         -1.759436         90.840809         -0.000000
             drift         DBENDEND:         91.017806         -1.768503         90.980214         -0.000000
            marker     MF13:cellmark         91.017806         -1.768503         90.980214         -0.000000
             drift           DBPMIN:         91.278461         -1.785418         91.240320         -0.000000
          hmonitor          HBPMF13:         91.278461         -1.785418         91.240320         -0.000000
             drift          DBPMOUT:         91.478486         -1.798399         91.439923         -0.000000
        quadrupole           HQUADF:         93.157426         -1.907357         93.115324         -0.000000
             drift            DQOUT:         93.329206         -1.918505         93.286742         -0.000000
             drift          DPACKIN:         93.472081         -1.927777         93.429316         -0.000000
        quadrupole            TQFE1:         94.234081         -1.977229         94.189709         -0.000000
     thinSextupole              TSF:         94.234081         -1.977229         94.189709         -0.000000
             hkick            HDF13:         94.234081         -1.977229         94.189709         -0.000000
             drift         DPACKU2D:         94.640481         -2.003603         94.595253         -0.000000
            marker              TSQ:         94.640481         -2.003603         94.595253         -0.000000
             drift         DPACKOUT:         95.158006         -2.037188         95.111687         -0.000000
             drift         DBENDEND:         95.297706         -2.046255         95.251092         -0.000000
          thinQuad            BENDQ:         95.297706         -2.046255         95.251092         -0.000000
             sbend             BEND:        101.419089         -2.468303        101.357909         -0.000000
          thinQuad            BENDQ:        101.419089         -2.468303        101.357909         -0.000000
             drift         DBENDEND:        101.558789         -2.478501        101.497236         -0.000000
             drift         DBENDEND:        101.698489         -2.488698        101.636563         -0.000000
          thinQuad            BENDQ:        101.698489         -2.488698        101.636563         -0.000000
             sbend             BEND:        107.819872         -2.960307        107.739753         -0.000000
          thinQuad            BENDQ:        107.819872         -2.960307        107.739753         -0.000000
